"X","ID","ID1","LATITUD","LONGITUD","COS_0.30","DA_0.30","COSkgm2","DEM","AnalyticalHillshading","Slope","Aspect","CrossSectionalCurvature","LongitudinalCurvature","CovergenceIndex","ClosedDepressions","FlowAccumulation","TopographicWetnessIndex","LSFactor","ChannelNetworkBaseLevel","VerticalDistanceToChannelNetwork","ValleyDepth","RelativeSlopePosition","DEMSRE3a","etmnts3a","evmmod3a","evsmod3a","g01igb3a","g02esa3a","g02igb3a","g03esa3a","g04esa3a","g04igb3a","g05esa3a","g06esa3a","g07esa3a","g10igb3a","g11esa3a","g11igb3a","g12igb3a","g13esa3a","g18esa3a","g21esa3a","gacgem3a","gachws3a","garhws3a","gchhws3a","gcmhws3a","geaisg3a","gflhws3a","gfrhws3a","gglhws3a","glcesa3a","glcjrc3a","glphws3a","glvhws3a","glwwwf3a","glxhws3a","gnthws3a","gplhws3a","grghws3a","gschws3a","gsnhws3a","gsthws3a","gvrhws3a","iflgre3a","inmsre3a","inssre3a","l02igb3a","l03igb3a","l04igb3a","l05igb3a","l06igb3a","l07igb3a","l08igb3a","l09igb3a","l10igb3a","l11igb3a","l12igb3a","l13igb3a","l14igb3a","l3pobi3b","lammod3a","lasmod3a","opisre3a","px1wcl3a","px2wcl3a","px3wcl3a","px4wcl3a","SLPSRT3a","smkisr3a","tdhmod3a","tdlmod3a","tdmmod3a","tdsmod3a","tnhmod3a","tnlmod3a","tnmmod3a","tnsmod3a","twisre3a","tx1mod3a","tx2mod3a","tx3mod3a","tx4mod3a","tx5mod3a","tx6mod3a","wmkmod3a"
2753,"Pri-53","Pri-53",-25.6639,-54.7542,16.19247706,1.452505017,7.055896251,241.6389148,2.169746876,1.569507122,1.708740473,31725.02539,-20247.82813,13.16981792,1.2e-06,8.22e-05,-12.21302319,3.070863008,184.9057465,56.73316956,123.9800415,0.313940346,244,5647,3790,1247,12,0,12,0,0,14,0,0,0,12,0,12,12,100,0,0,322,0,0,0,0,37,0,15,0,130,11,15,0,0,0,70,0,0,0,0,0,0,0,34,20.97979355,0,0,0,0,0,0,0,0,0,0,80,0,20,7,10,6,1569,156,141,121,129,2,1,38,11,28,6,22,2,16,4,114,31,31,26,20,26,34,0
544,"Ori-392","Ori-392",-26.711667,-54.987778,15.54785601,1.459172977,6.806103406,176.8888919,1.014472961,1.570505381,6.225454807,21044.16211,13042.45898,1.942009449,-6.37e-06,0.000193007,-12.09589291,4.23386097,127.4486389,49.44024658,148.520874,0.249747261,172,12702,4504,725,5,0,14,100,0,14,0,0,0,14,0,14,14,0,0,0,309,0,0,0,0,37,0,15,0,20,17,15,0,0,0,70,0,0,0,0,0,0,0,33,20.9944191,0,0,0,20,0,0,0,0,0,0,0,0,80,7,49,15,1558,137,134,125,119,8,1,39,13,26,6,23,3,16,5,111,32,28,23,19,25,32,0
1079,"Pri-1420","Pri-1420",-23.8314,-57.5255,9.4,1.5227664,4.294201248,71.05555595,1.041432619,1.54253757,6.283185482,-5143.124023,-532.6327515,-18.18784904,1.3e-06,0.024626371,-2.324184179,11.961339,70.98661041,0.068946838,124.8776245,0.000551811,71,4531,3563,387,14,0,14,0,0,9,0,100,0,9,0,9,9,0,0,0,721,0,0,0,0,72,0,0,0,50,2,0,25,4,0,0,15,0,0,40,0,20,0,34,20.73298836,0,0,0,0,0,0,0,60,0,0,0,0,40,1,16,4,1569,143,124,73,74,0,1,46,14,28,7,25,3,19,5,138,33,28,23,22,28,32,0
1436,"Pri-1750","Pri-1750",-26.7917,-56.2036,14.9,1.4658744,6.552458568,142.6666215,1.02064991,1.570176482,4.758891582,30957.20117,89015.25781,7.438185692,4.43e-06,0.000149874,-12.1959486,3.567399502,98.92414856,43.74247742,61.47381592,0.415738642,142,9063,4589,545,9,0,9,50,0,9,0,0,0,9,0,9,14,50,0,0,241,50,0,0,0,37,0,0,15,130,17,0,0,0,35,0,0,0,0,0,0,0,0,34,20.77091789,0,0,0,0,0,0,0,100,0,0,0,0,0,7,24,9,1567,137,181,133,123,4,1,36,10,26,5,24,1,16,5,132,31,28,23,19,24,29,0
630,"Pri-1011","Pri-1011",-21.1909,-61.6233,9.4,1.5227664,4.294201248,252.5555585,1.664680481,1.563670754,0.920164645,5235.833984,6018.560547,4.392543316,-1.28e-06,0.000237752,-9.035640717,4.118409634,246.5486755,6.006881714,1.588989258,0.790808797,253,1956,3436,842,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,618,0,45,0,0,72,0,0,0,50,2,0,0,0,0,0,25,30,0,0,0,0,0,34,20.97979355,0,0,100,0,0,0,0,0,0,0,0,0,0,7,18,13,1570,76,77,21,19,0,1,39,18,30,6,27,6,21,4,145,32,29,25,26,33,36,0
3025,"Pri-777","Pri-777",-19.5405,-59.9033,7.8,1.5393168,3.602001312,150.2499974,1.890194058,1.558147907,3.463335991,-1921.835205,-3761.172607,-2.263236046,2.59e-06,0.002615592,-6.063743114,6.652547359,147.7512054,2.498794556,32.69396973,0.071003079,150,6930,4664,1302,8,0,4,0,0,4,100,0,0,8,0,8,4,0,0,0,766,0,30,0,15,72,0,0,0,40,12,0,0,0,0,0,0,40,0,15,0,0,0,34,20.77902603,0,0,40,0,0,0,60,0,0,0,0,0,0,4,23,15,1570,106,105,26,41,0,1,37,20,29,4,28,14,21,3,140,30,26,26,27,32,32,0
1020,"Pri-1366","Pri-1366",-23.0808,-57.7486,9.4,1.5227664,4.294201248,71.11111871,1.666781187,1.567060232,0.92229414,-5585.085449,-17808.10352,-0.618752122,3.42e-06,0.000187515,-10.1068964,3.782450438,69.42776489,1.683357239,140.6958008,0.011823059,72,5859,4056,632,5,0,5,0,0,9,0,75,0,8,0,8,9,25,0,0,411,0,0,0,0,72,100,0,0,50,15,0,0,4,0,0,0,0,0,0,0,0,0,34,20.73298836,0,0,0,40,0,0,40,20,0,0,0,0,0,1,20,6,1568,153,127,72,73,1,1,34,13,27,5,24,5,19,4,134,31,27,24,23,29,30,0
1580,"Pri-1886","Pri-1886",-23.59,-59.1938,7.8,1.5393168,3.602001312,109.8888873,2.150753975,1.554675341,3.033906221,1623.90271,292.1129456,2.513687372,-1.83e-06,0.000183811,-8.558764458,3.847432852,108.7219543,1.166931152,79.3939209,0.014485089,110,3429,3257,550,8,0,8,0,0,8,0,75,0,8,0,8,8,25,0,0,1146,0,0,0,0,72,0,0,0,130,2,0,25,4,0,0,15,0,0,40,0,20,0,34,20.73390007,0,0,0,0,0,0,100,0,0,0,0,0,0,4,14,5,1570,102,109,41,51,0,1,38,17,29,5,26,4,19,5,138,33,29,25,24,32,31,0
2542,"Pri-338","Pri-338",-24.1636,-54.7014,7.8,1.5393168,3.602001312,311.4722255,2.321507454,1.570014238,2.621875286,-56552.54688,19114.65625,-9.700314522,3.47e-06,0.003621744,-7.828503132,8.156588554,301.355957,10.11627197,129.3616333,0.072529569,305,10717,4388,1448,9,0,9,0,50,8,0,0,0,8,0,8,4,50,0,0,274,20,45,0,20,14,0,0,15,130,16,0,0,0,0,0,0,0,0,0,0,0,0,35,20.87042618,0,0,0,0,0,0,60,40,0,0,0,0,0,7,41,19,1557,172,132,111,127,4,1,37,10,28,5,23,4,16,4,108,29,29,27,22,28,34,0
817,"Pri-1180","Pri-1180",-20.6139,-61.3081,9.4,1.5227664,4.294201248,241.2777803,1.859513402,1.564779878,1.20146203,-5814.163574,-4199.654785,-5.464443207,5.95e-06,0.00244568,-6.873986244,6.564307213,240.6648254,0.612960815,4.851379395,0.11217472,241,1909,3260,939,4,0,4,0,0,4,75,25,0,4,0,4,4,0,0,0,680,0,45,0,0,72,0,0,0,40,12,0,0,0,0,0,25,30,0,0,0,0,1,34,20.97979355,0,0,100,0,0,0,0,0,0,0,0,0,0,7,14,9,1570,68,69,20,20,0,1,41,14,31,6,28,3,21,4,141,33,30,27,26,34,35,0
