ID,ID1,LATITUD,LONGITUD,COS_0.30,DA_0.30,COSkgm2,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,evsmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g07esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g13esa3a,g18esa3a,g21esa3a,gacgem3a,gachws3a,garhws3a,gchhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gnthws3a,gplhws3a,grghws3a,gschws3a,gsnhws3a,gsthws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l03igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,ln1dms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a
Pri-679,Pri-679,-19.3832,-59.2467,7.8,1.5393168,3.6,213.6944541,0.816655934,1.57010138,5.244464874,12742.38867,-1211.577759,2.934529066,3.93E-06,0.000149297,-11.82855892,3.752572536,157.0527496,56.64170837,34.47167969,0.621661723,214,8150,4968,1463,8,50,8,0,0,8,50,0,0,4,0,8,4,0,0,0,821,0,30,0,15,72,0,0,0,40,17,0,0,0,0,0,0,40,0,15,0,0,0,34,20.91435432,0,0,20,0,0,0,80,0,0,0,0,0,0,7,25,2,1566,127,127,29,50,3,1,37,22,29,4,27,9,20,3,132,29,26,25,28,34,31,0
Pri-680,Pri-680,-20.0081,-60.0927,9.4,1.5227664,4.29,162.9722236,1.860364556,1.554314494,1.205591202,636.4462891,661.6982422,0.603450954,5.36E-06,0.000100864,-9.459916115,3.198685408,161.2851715,1.687057495,22.89971924,0.068616457,163,2804,3897,968,4,0,4,0,0,4,100,0,0,4,0,4,4,0,0,0,855,0,15,0,40,72,0,0,0,40,12,0,0,0,0,0,0,30,0,15,0,0,1,34,20.8307724,0,0,100,0,0,0,0,0,0,0,0,0,0,4,23,2,1570,92,90,23,36,0,1,37,22,29,4,28,16,22,3,138,30,28,25,27,32,32,0
Pri-682,Pri-682,-20.677,-59.3701,13.3,1.4824248,5.91,114.0277776,2.326812029,1.477362156,2.466858387,2001.401978,2264.809082,5.573286533,9.95E-07,0.00021887,-6.7301507,3.879173279,112.9420853,1.085693359,55.55706787,0.01916738,114,5162,4039,986,4,0,4,0,0,4,100,0,0,4,0,4,4,0,0,0,656,0,0,0,0,72,0,0,0,40,1,0,30,0,0,0,15,0,0,55,0,0,1,34,20.73390007,0,0,100,0,0,0,0,0,0,0,0,0,0,4,20,2,1570,103,94,27,44,0,1,37,22,30,4,29,8,22,4,141,32,28,25,27,33,33,0
Pri-69,Pri-69,-25.5981,-54.7481,12.52373198,1.490454516,5.6,205.2778114,1.260158062,1.569982052,0.338606894,-32327.03711,-102015.9844,-8.871630669,5.40E-06,9.39E-05,-12.53964043,3.153561354,194.199234,11.07858276,158.8016052,0.065214097,210,7793,3932,1426,8,0,8,0,0,9,0,0,0,12,0,12,8,100,0,0,223,0,0,0,0,37,0,15,0,130,1,15,0,0,0,70,0,0,0,0,0,0,0,34,20.88958549,0,0,0,0,0,0,40,20,0,0,40,0,0,7,20,-10,1565,158,140,120,132,4,1,36,10,27,6,23,3,16,5,114,30,30,25,20,26,33,0
Pri-728,Pri-728,-19.9243,-59.8013,7.8,1.5393168,3.6,158.722202,2.284647465,1.569400191,2.742506742,49135.14453,48492.88281,17.37586403,-3.51E-06,9.90E-05,-11.94680882,3.187589169,137.1756897,21.54650879,13.06451416,0.622533143,159,5864,4564,1218,4,0,4,75,0,8,25,0,0,4,0,4,4,0,0,0,1000,0,30,0,15,72,0,0,0,40,1,0,0,0,0,0,0,40,0,15,0,0,0,34,20.76349831,0,0,80,0,0,0,20,0,0,0,0,0,0,4,24,2,1570,102,102,24,40,2,1,37,21,29,4,27,12,21,3,135,30,27,24,26,31,31,0
Pri-73,Pri-73,-25.6058,-54.7053,15.11132621,1.463688442,6.64,206.555543,0.808076143,1.569830298,5.713494301,28998.81055,3353.728271,5.93528986,-1.00E-06,0.000318047,-10.51086998,4.572715759,186.6332703,19.92227173,156.7922058,0.112737067,206,10445,4177,1193,14,0,14,0,0,12,0,0,0,9,0,9,8,100,0,0,172,0,0,0,0,37,0,15,0,130,1,15,0,0,0,70,0,0,0,0,0,0,0,34,20.91435432,0,0,0,0,0,0,0,40,0,0,20,0,40,7,39,-18,1565,158,142,122,135,3,1,38,10,27,6,23,1,16,5,114,30,31,25,20,26,33,0
Pri-741,Pri-741,-19.5735,-60.4989,11.8,1.4979408,5.3,217.6388659,2.139580011,1.569057941,3.060377121,37391.60156,42084.375,10.41579342,4.33E-06,9.17E-05,-11.80473995,3.138760567,202.597168,15.04170227,28.67810059,0.344047815,219,5682,4171,1393,8,0,8,0,0,8,100,0,0,4,0,4,4,0,0,0,656,0,0,0,70,72,0,0,0,40,14,0,0,0,0,0,0,15,0,15,0,0,1,34,20.9341507,0,0,40,0,0,0,60,0,0,0,0,0,0,7,20,2,1569,87,81,23,33,1,1,38,22,29,4,27,14,22,3,133,30,26,27,28,33,32,0
Pri-746,Pri-746,-21.4328,-58.7265,9.4,1.5227664,4.29,97.22222235,2.347712994,1.539340019,2.320976257,-5337.176758,-5065.337891,-26.10774231,0.113524415,0.037273742,-1.267653108,14.4603405,97.33574677,0,108.8044434,0,97,3843,3531,900,4,0,4,25,0,8,0,0,0,8,0,8,8,75,0,0,626,0,0,0,0,72,0,0,0,130,15,0,0,4,0,0,25,0,15,35,0,25,0,34,20.70670128,0,0,40,0,0,0,60,0,0,0,0,0,0,1,16,2,1569,120,98,40,58,0,1,38,14,29,5,25,5,20,4,139,30,29,26,26,34,34,0
Pri-760,Pri-760,-21.2614,-59.0142,7.8,1.5393168,3.6,105.7499948,2.105293036,1.564405441,3.12028718,272.8078613,-2355.815674,3.432186365,-2.44E-06,0.000135748,-9.961772919,3.497369766,104.3522491,1.397743225,82.54711914,0.016650731,106,4715,3808,835,4,0,4,0,0,4,0,100,0,4,0,4,4,0,0,0,1443,0,0,0,0,72,0,0,0,50,15,0,0,0,0,0,25,0,15,35,0,25,1,34,20.73390007,0,0,100,0,0,0,0,0,0,0,0,0,0,4,19,2,1570,110,92,33,50,0,1,38,15,29,5,26,3,21,4,139,31,28,25,25,32,32,0
Pri-767,Pri-767,-20.289,-59.8321,7.8,1.5393168,3.6,138.02778,1.819437027,1.558382988,1.144169807,2804.133545,477.7024841,5.2466259,6.23E-06,0.004141574,-5.622920036,7.29304266,135.5399628,2.487823486,14.98431396,0.142388046,138,4550,3698,971,8,0,4,0,0,4,50,50,0,4,0,8,4,0,0,0,1206,0,15,0,40,72,0,0,0,40,1,0,0,0,0,0,0,30,0,15,0,0,1,34,20.7694149,0,0,60,0,0,0,40,0,0,0,0,0,0,4,17,2,1570,96,93,24,38,0,1,38,20,30,5,29,14,22,3,140,31,28,25,26,33,33,0
